time 	 RH 	 LH 
001.115	55.8167	44.1833	
001.172	55.9914	44.0086	
001.236	55.9914	44.0086	
001.296	55.9914	44.0086	
001.364	55.9914	44.0086	
001.420	55.4205	44.5795	
001.484	54.6395	45.3605	
001.548	53.7353	46.2647	
001.612	52.8632	47.1368	
001.672	51.9611	48.0389	
001.736	51.1003	48.8997	
001.796	50.3610	49.6390	
001.864	49.5720	50.4280	
001.921	48.7798	51.2202	
001.984	47.9682	52.0319	
002.048	47.4720	52.5280	
002.113	48.1008	51.8992	
002.172	48.8386	51.1614	
002.236	49.5241	50.4759	
002.296	50.1327	49.8673	
002.364	50.6730	49.3270	
002.420	51.2188	48.7812	
002.484	51.7884	48.2116	
002.548	52.4107	47.5893	
002.612	52.9734	47.0266	
002.672	53.5358	46.4642	
002.736	53.9749	46.0251	
002.796	54.2820	45.7180	
002.864	54.6282	45.3718	
002.921	54.9839	45.0161	
002.984	55.3114	44.6886	
003.048	55.4377	44.5623	
003.114	54.5693	45.4307	
003.172	53.5350	46.4650	
003.236	52.7258	47.2742	
003.296	52.1995	47.8005	
003.364	51.7583	48.2417	
003.421	51.3383	48.6617	
003.484	50.9770	49.0230	
003.548	50.6476	49.3524	
003.612	50.6476	49.3524	
003.672	50.2760	49.7240	
003.736	50.2760	49.7240	
003.800	50.2760	49.7240	
003.864	50.2760	49.7240	
003.920	50.2760	49.7240	
003.984	50.2760	49.7240	
004.048	50.2760	49.7240	
004.113	50.2760	49.7240	
004.172	50.2760	49.7240	
004.236	50.2760	49.7240	
004.300	50.2760	49.7240	
004.364	50.2760	49.7240	
004.420	50.2760	49.7240	
004.484	50.2760	49.7240	
004.548	50.2760	49.7240	
004.612	49.9998	50.0002	
004.672	49.9998	50.0002	
004.736	49.7117	50.2883	
004.800	49.4369	50.5631	
004.864	49.0859	50.9141	
004.920	48.6239	51.3761	
004.984	48.0708	51.9292	
005.048	47.5176	52.4824	
005.113	47.0509	52.9491	
005.172	46.4932	53.5068	
005.236	46.1153	53.8847	
005.300	45.8562	54.1438	
005.364	45.5122	54.4878	
005.421	45.0491	54.9509	
005.484	44.5791	55.4209	
005.548	44.1150	55.8850	
005.612	43.6615	56.3385	
005.672	43.2309	56.7691	
005.736	42.7792	57.2208	
005.800	42.3069	57.6931	
005.864	41.8486	58.1514	
005.920	41.4768	58.5232	
005.984	41.1297	58.8703	
006.048	40.6836	59.3164	
006.113	40.1712	59.8288	
006.172	39.6231	60.3769	
7692	 7692	 7692 
7691	 7691	 7691 
000.008	50.0000	50.0000	
000.072	50.3298	49.6702	
000.136	50.7047	49.2953	
000.192	50.9724	49.0276	
000.256	51.3001	48.6999	
000.320	51.5595	48.4405	
000.384	51.8065	48.1935	
000.444	51.8065	48.1935	
000.508	51.8065	48.1935	
000.572	51.8065	48.1935	
000.636	51.8065	48.1935	
000.692	51.8065	48.1935	
000.756	51.8065	48.1935	
000.820	51.2857	48.7143	
000.884	50.8883	49.1117	
000.944	50.3309	49.6691	
001.008	49.7360	50.2640	
001.072	49.0380	50.9620	
001.136	48.6913	51.3087	
001.192	48.6913	51.3087	
001.256	48.6913	51.3087	
001.320	48.6913	51.3087	
001.384	48.6913	51.3087	
001.444	49.1303	50.8697	
001.508	49.6711	50.3289	
001.572	50.1672	49.8328	
001.636	50.7256	49.2744	
001.692	51.1452	48.8548	
001.756	51.5620	48.4380	
001.820	52.0158	47.9842	
001.884	52.5075	47.4925	
001.944	53.0096	46.9904	
002.008	53.5821	46.4179	
002.072	54.0872	45.9128	
002.136	54.2456	45.7544	
002.192	54.2456	45.7544	
002.256	54.5915	45.4085	
002.320	55.3154	44.6846	
002.384	56.0620	43.9380	
002.444	56.7373	43.2627	
002.508	57.3180	42.6820	
7693	 7693	 7693 
7701	 7701	 7701 
000.009	51.0141	48.9859	
000.077	51.8217	48.1783	
